phi,mean,std,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
0.1,0.00039037,0.00073389,0.00048788,5.72e-06,5.447e-05,0.00026619,0.00252544,6.201e-05,1.682e-05,0.00046428,1.869e-05,2.17e-06
0.2,1.2e-07,2.6e-07,0.0,2.5e-07,8.5e-07,0.0,1.2e-07,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.0001623,0.00013057,0.00049742,8.695e-05,0.00012022,0.00016083,0.00018902,0.00017677,3.98e-05,4.066e-05,5.586e-05,0.00025546
